rot	tilt	psi
8.8402	108.1028	8.7912
19.6708	90.6571	146.972
42.4104	97.8358	-11.5861
161.0859	98.8295	-132.1507
-171.9737	56.849	12.0902
-72.6273	65.7445	-74.5817
-148.9734	44.6583	111.0321
-120.3629	84.6784	45.3884
-122.2976	77.6613	-130.9134
-107.077	21.6319	-103.3592
21.3285	93.027	-142.2537
18.9918	99.1947	-164.1352
86.2597	27.7983	68.2264
98.5669	114.7184	-176.7914
96.4109	92.2787	-22.5502
3.5262	155.4814	150.4451
157.0396	126.253	7.3711
22.0113	75.9892	-148.2268
67.9119	68.0822	-7.5055
53.5865	98.9015	-163.9565
55.4751	101.2586	14.9675
150.3083	118.7136	154.1349
-98.7342	34.2257	-15.214
133.9712	133.9994	41.3138
168.9315	58.061	-52.964
171.0934	58.6543	129.6709
33.2038	91.9908	148.4279
90.9545	54.5675	163.4635
175.6193	15.5364	119.7108
129.2524	93.2272	-147.7113
129.0165	92.7024	32.3733
-35.3682	126.633	-173.1662
17.0302	77.1834	-17.7883
17.759	102.5734	127.6622
12.8147	92.0451	-168.5741
-86.0851	108.4598	34.9592
-104.6452	13.6274	-156.7643
-101.0949	16.1038	19.8033
-166.9951	20.1571	-8.6002
36.7268	133.6026	17.7713
87.5816	62.4923	84.1234
-169.4299	84.2545	170.8894
-173.3701	89.1007	-13.3196
-117.534	96.97	-146.5685
113.7649	94.2927	-23.2993
-87.4474	97.7585	124.8515
-136.5116	78.1366	-146.1842
116.1148	21.0468	-177.0818
-114.2081	36.3465	4.3036
-103.7333	34.4207	174.3479
-150.1464	124.5083	21.8594
178.8992	146.9532	-143.8765
7.0164	146.5878	-35.3681
-107.4361	69.8539	-5.7632
-101.3086	121.6425	77.0528
-99.8489	119.1595	-100.4107
-110.1708	82.3688	-119.211
-58.4403	112.6204	116.6881
-156.1209	37.729	122.621
-155.8614	38.9593	-54.7704
82.4905	96.8387	128.4305
-144.3908	34.7017	26.8581
-146.5161	32.3395	-151.3696
-120.9978	52.6508	-147.9543
-114.9105	44.9006	67.3748
-88.3066	99.2695	179.5177
88.7753	121.5267	29.4053
102.9064	20.7292	-130.9685
109.2361	24.7295	39.6516
-29.2753	64.608	142.3216
-117.1082	30.236	-10.6757
-126.557	24.5247	175.1459
179.8363	48.0296	-25.2
31.4788	91.8648	161.9663
83.0546	156.1829	-80.2581
101.896	104.8694	-44.9543
102.6553	99.7488	130.9867
81.9237	64.5796	1.2773
81.9259	61.9421	-178.7237
-130.0913	118.601	51.5019
3.9728	74.136	5.2293
-22.8377	107.768	159.8698
-3.2946	83.4355	138.276
109.6056	128.9625	72.3152
56.3798	116.3667	56.8029
55.6105	119.9386	-117.9382
165.2064	111.8765	55.9094
-63.9523	115.3246	141.1447
116.0792	26.4725	-43.2967
164.9137	83.6878	-102.5649
179.2126	55.7986	84.9648
51.4024	49.2928	-91.3414
24.0804	70.651	-160.3924
-49.5699	76.4342	43.4349
-21.5702	110.559	163.6264
32.05	58.2624	-90.9892
-1.0944	36.2657	102.4684
-12.0129	124.8496	163.4746
121.7721	128.4471	35.5265
-17.7096	126.1126	-155.5614
161.0501	19.8134	95.9493
-147.9976	128.13	106.3109
13.4119	43.0656	-1.7639
114.1187	99.2236	-11.8349
-172.0207	83.97	-103.4289
-168.1558	84.6672	74.7814
-156.5474	117.2138	139.7879
142.9543	20.0041	79.0153
77.527	114.6946	-5.5193
-49.2625	126.7975	-12.2508
69.7887	115.3912	64.9067
65.8205	113.3365	-118.4507
-92.3045	44.3572	30.7256
-118.0202	55.297	-135.4924
-115.8739	57.2389	43.3155
-149.7726	54.653	142.7166
153.8913	60.8067	-118.4102
156.3698	63.3105	61.8348
7.9689	83.4372	-138.0973
136.16	51.7776	34.1972
-30.0869	78.3895	-128.2921
-27.4969	81.1376	52.6544
-59.5532	31.1121	-11.2157
108.1266	70.9276	126.6796
102.7747	70.1378	-51.6522
48.0293	44.0294	-90.498
56.8948	41.7352	83.721
96.9163	85.7891	-101.502
97.5146	82.3029	76.0947
25.2563	105.6344	138.0399
163.8786	21.7293	-8.7818
168.0611	21.0321	167.0696
-144.435	57.7071	69.6239
147.1648	135.2354	-169.2725
150.6577	136.8172	12.1675
-164.0728	72.4349	11.7987
116.7628	96.4906	-27.9188
137.2498	17.4277	-104.5152
103.9445	142.2843	-77.1789
-163.2336	48.8132	-116.7571
-141.7599	88.1343	-45.2842
26.4995	78.4295	92.0357
19.5902	79.3623	-86.0867
-2.3191	52.7687	-117.1062
-78.4812	91.386	128.7518
107.6323	36.5665	88.6625
39.1865	110.5253	-177.0825
-103.5013	160.4642	-171.1372
-103.5013	160.4642	-171.1372
21.0333	58.2032	-15.4284
15.79	53.4927	172.5202
63.5816	127.0671	158.2939
-119.5348	75.7975	-67.722
-118.4785	72.8947	111.9928
-77.5228	47.9296	-13.7573
98.8679	151.1553	54.9713
65.0691	70.584	-148.5571
63.0857	75.6846	33.4269
51.6857	17.4479	-0.0805
-171.682	88.9029	-86.2836
-150.5332	42.3732	47.1636
-164.6585	51.0245	-163.7204
-57.1578	143.2895	-148.8862
-171.0952	35.1894	-89.6765
-49.9123	97.6733	38.4799
-52.5545	92.0414	-140.3366
-4.3453	137.4427	63.0202
-128.7997	103.6602	33.9136
-153.1214	118.0454	132.5712
7.4994	77.0006	-179.4594
8.29	89.0658	2.5743
-2.6849	109.2961	-17.5974
-146.9395	151.7884	108.4841
69.8187	124.3277	-135.0687
-1.4062	121.0894	110.8784
94.8981	68.4841	57.1811
-79.4491	100.5286	-17.3519
128.6133	6.5759	16.6384
-139.4038	46.9409	177.9993
-103.843	63.1187	-10.7022
-80.1294	55.3276	-42.0528
-77.5695	51.3239	135.9679
37.679	57.6626	174.8159
166.3116	72.897	16.1333
45.7193	112.4567	-42.1965
30.8248	97.8501	68.0163
28.6248	98.0116	-113.6937
-42.6886	119.7738	-150.1782
-148.5257	24.2305	-42.8124
-148.5257	24.2305	-42.8124
144.7989	143.083	143.2777
112.4296	64.443	-110.4538
-127.4843	98.7179	171.1394
-128.8132	7.5796	-170.6089
101.9438	24.8716	57.1049
139.6135	45.0045	-151.9607
62.6885	50.6658	107.0705
59.2865	53.0348	-68.3857
-32.63	25.3696	-56.4913
-127.4813	118.2173	103.9122
2.3632	104.221	-18.8387
1.0737	100.7602	160.8822
-121.945	138.9972	106.7488
-172.8449	37.8502	141.3582
161.5544	153.5972	-80.3828
13.3225	122.7627	60.9884
124.5547	43.5676	-147.3712
126.542	45.8036	34.0288
146.5951	90.2509	17.3529
164.0058	104.4639	141.3626
162.2397	106.4787	-39.1087
169.474	30.416	-83.6471
-91.6016	89.0837	-103.2787
-100.8557	62.694	17.4479
123.2776	38.2348	150.6551
-74.0835	91.629	-68.1848
-72.6668	89.5122	102.8047
95.3325	42.4869	23.9014
63.0551	101.0699	105.377
-82.064	30.8351	-76.8182
-76.9571	30.3918	98.7858
-75.7362	146.5348	146.7061
-160.0506	40.1967	8.1273
-159.2616	38.9555	-173.8871
141.3897	164.4563	-83.9495
86.9824	46.8851	83.5752
95.439	63.0007	57.3649
-16.0182	151.8566	-77.1541
137.8368	54.2648	94.0205
108.3817	92.5651	74.0858
63.9562	126.8103	25.7022
-171.027	46.9591	35.5332
5.7604	102.2949	-96.5779
2.0586	106.4163	74.772
49.258	26.3167	-131.3368
-94.9073	4.5454	3.6816
49.6382	61.9358	109.8761
-52.1815	123.9056	48.8481
-27.0404	111.3483	-98.5417
-155.4776	135.5399	-50.9411
-64.7199	37.2351	-140.7288
-80.6691	14.1022	87.4845
105.6494	72.2783	-144.5369
79.1921	144.5817	87.5794
-49.3816	135.0893	-4.8521
167.3518	88.5787	40.2105
167.9712	88.1529	-140.1191
-148.8305	106.8907	84.0882
-174.8341	20.9339	-169.0184
117.1429	44.134	-85.487
169.0572	64.1132	88.1721
-86.7463	49.8739	48.126
178.8948	60.9835	-120.291
-105.2453	16.834	-21.1724
-96.06	14.3846	148.5805
145.791	34.0273	-141.3337
-38.0175	70.1681	79.1976
157.0864	82.7913	-85.5258
161.4306	81.3345	93.3465
48.2165	143.4595	153.3837
51.8113	141.622	-135.0577
165.8551	72.3377	102.8178
100.6042	19.8527	81.1093
82.6647	27.0536	-81.6477
-41.0547	83.593	30.7833
55.1801	32.2139	-36.996
60.5845	31.276	139.8137
-36.6704	122.8289	-100.0431
-36.8732	138.9355	83.9617
99.012	61.2901	-47.4556
97.6524	59.2781	133.2185
-56.9149	57.587	-78.304
71.6103	69.3559	137.9148
121.0033	54.9475	47.5906
-152.4569	107.1989	-10.5398
-157.8899	106.9289	169.5406
-170.6214	73.1141	139.5792
-157.3796	65.8289	143.7353
-156.3352	100.4475	-138.7197
150.6736	95.364	-92.9617
152.9752	94.0715	88.2573
-40.5705	49.4823	-13.5585
-42.2487	45.7714	170.9533
-134.9036	24.2481	98.3573
45.9301	63.5082	24.8371
102.2466	158.5711	177.4026
126.449	38.905	34.8837
-105.7519	94.4609	-95.6151
3.1986	101.4179	112.9033
-115.2553	48.6249	-124.3167
-110.2424	51.4242	52.2067
-117.1743	87.0212	-35.2444
79.0043	120.9337	-96.5408
30.718	54.8578	-59.2983
54.698	61.5757	-151.0784
58.8704	59.6522	12.6227
-46.8991	79.3272	-178.9293
106.736	75.4664	-147.8858
108.5333	76.472	30.2721
-122.2673	122.8544	-22.3973
44.5444	8.4261	-87.7917
-149.8467	96.0469	112.3722
143.1902	136.3838	62.7303
96.3583	87.1491	117.5397
82.6514	101.8028	-132.8405
39.1299	151.8892	-34.7252
-132.2085	64.8322	-157.2767
157.4527	59.6135	69.9073
123.5728	137.6565	30.3638
-145.2691	99.3323	50.5761
174.4918	36.9395	-32.622
-104.9864	19.2614	49.7913
-10.3315	9.1159	41.0248
118.7195	95.3726	41.1719
-62.9854	53.1848	-58.4732
-142.6767	73.6898	99.8673
-145.3761	74.1626	-76.5718
-91.6782	136.9276	-172.0874
161.7956	94.0087	23.9698
-179.2551	102.6477	-61.0383
146.4168	52.1281	165.1615
0.056	140.1987	37.36
-2.2649	138.0422	-144.3951
-72.0796	54.8923	-156.4736
-145.1278	117.57	102.2013
169.0114	131.563	73.9576
163.7927	133.6522	-105.9035
-23.67	131.9239	54.0396
-23.5151	128.5979	-131.4862
-7.4612	103.98	-123.1597
-170.7718	54.4652	134.3194
35.4206	104.3321	0.7509
122.006	109.5993	-14.3735
69.2041	61.7315	15.2798
-158.8927	36.1732	-70.3629
-171.617	53.9335	166.7184
61.724	81.4962	-19.9989
83.0459	111.96	-25.0877
81.582	109.5468	154.3934
-44.1349	62.5773	-46.4683
120.5177	36.6713	77.1222
114.1797	37.1452	-98.7852
-171.5842	51.4853	144.2103
11.1432	121.5098	-99.1589
-13.6409	32.5751	-83.0155
-5.903	31.5352	88.6609
-132.5114	81.6725	135.1143
54.368	154.9125	73.7445
-91.4661	27.8011	146.6095
-93.8688	36.2325	-26.8527
-81.2798	57.4555	32.0408
-86.0958	69.4875	170.5419
-74.7303	110.7732	-136.1925
-20.5521	112.2494	-136.4762
162.3641	82.248	60.6043
176.0712	98.1505	-89.8062
41.0713	107.0195	-93.5597
-100.0377	85.6114	95.8442
-102.6739	85.824	-83.959
-44.2032	67.968	86.8371
19.1682	40.5842	-136.9975
21.7602	42.5837	41.0633
-109.6402	88.9522	-83.1195
-5.7998	155.1903	-175.4647
-142.2936	103.7179	-117.6101
-129.3429	76.6557	-129.751
-17.372	8.2633	145.7838
158.4783	121.4566	-149.0844
25.0873	27.4451	10.3308
-148.4404	72.728	-154.3682
-101.0133	86.6613	40.2401
-116.5836	126.1493	136.2419
-105.3117	98.4808	-155.6919
156.4624	9.7879	-55.9584
-2.4141	123.2124	-24.7256
24.4018	89.4634	35.1866
22.9307	87.2739	-144.7716
156.8262	84.2978	22.0567
13.5542	120.7469	163.3232
-17.2273	61.0184	110.8608
175.1111	107.4845	-162.5067
-166.8116	49.0849	29.0582
-25.1712	94.3057	-147.1278
-134.901	135.4926	66.7257
162.5458	88.0339	-138.8429
164.2837	90.017	43.9408
-44.3989	55.1079	-59.1915
-86.1834	66.0507	40.182
-126.0617	29.1285	-62.989
46.0274	30.2201	-160.3018
-63.6057	92.6836	4.6579
-102.7469	135.6728	-79.6098
-97.6283	135.8979	102.6532
173.4636	50.367	56.6627
147.636	29.0694	156.099
-171.9544	64.1038	-165.5522
172.8138	64.2756	-96.2366
-121.3175	67.9829	8.0555
-124.0559	65.7257	-169.9497
2.4816	14.182	5.8137
-13.4402	81.8565	-34.6416
89.775	161.7383	175.8654
-14.9216	107.7643	95.2147
-15.4907	102.2278	-90.1831
154.8929	93.7049	-47.194
158.3385	92.5116	131.8155
-70.0578	117.3072	7.2157
-65.6734	107.1286	-155.1274
-176.5199	106.1905	43.634
